t_days,r_cm,Nn_cells_per_cm3,Nt_cells_per_cm3,Ch_mols_per_liter
0.00000,0.00000,5.00023e+07,9.99955e+04,9.93307e-10
0.00000,0.00500,5.00037e+07,9.99926e+04,9.89013e-10
0.00000,0.01000,5.00062e+07,9.99878e+04,9.82014e-10
0.00000,0.01500,5.00102e+07,9.99799e+04,9.70688e-10
0.00000,0.02000,5.00168e+07,9.99668e+04,9.52574e-10
0.00000,0.02500,5.00276e+07,9.99453e+04,9.24142e-10
0.00000,0.03000,5.00456e+07,9.99098e+04,8.80797e-10
0.00000,0.03500,5.00751e+07,9.98514e+04,8.17574e-10
0.00000,0.04000,5.01236e+07,9.97552e+04,7.31059e-10
0.00000,0.04500,5.02035e+07,9.95971e+04,6.22459e-10
0.00000,0.05000,5.03346e+07,9.93374e+04,5.00000e-10
0.00000,0.05500,5.05493e+07,9.89123e+04,3.77541e-10
0.00000,0.06000,5.08993e+07,9.82194e+04,2.68941e-10
0.00000,0.06500,5.14656e+07,9.70981e+04,1.82426e-10
0.00000,0.07000,5.23713e+07,9.53048e+04,1.19203e-10
0.00000,0.07500,5.37929e+07,9.24900e+04,7.58582e-11
0.00000,0.08000,5.59601e+07,8.81989e+04,4.74259e-11
0.00000,0.08500,5.91213e+07,8.19399e+04,2.93122e-11
0.00000,0.09000,6.34471e+07,7.33748e+04,1.79862e-11
0.00000,0.09500,6.88770e+07,6.26235e+04,1.09869e-11
0.00000,0.10000,7.50000e+07,5.05000e+04,6.69285e-12
0.00000,0.10500,8.11230e+07,3.83765e+04,4.07014e-12
0.00000,0.11000,8.65529e+07,2.76252e+04,2.47262e-12
0.00000,0.11500,9.08787e+07,1.90601e+04,1.50118e-12
0.00000,0.12000,9.40399e+07,1.28011e+04,9.11051e-13
0.00000,0.12500,9.62071e+07,8.50996e+03,5.52779e-13
0.00000,0.13000,9.76287e+07,5.69516e+03,3.35350e-13
0.00000,0.13500,9.85344e+07,3.90191e+03,2.03427e-13
0.00000,0.14000,9.91007e+07,2.78063e+03,1.23395e-13
0.00000,0.14500,9.94507e+07,2.08771e+03,7.48462e-14
0.00000,0.15000,9.96654e+07,1.66259e+03,4.53979e-14
0.00000,0.15500,9.97965e+07,1.40294e+03,2.75357e-14
0.00000,0.16000,9.98764e+07,1.24479e+03,1.67014e-14
0.00000,0.16500,9.99249e+07,1.14862e+03,1.01300e-14
0.00000,0.17000,9.99544e+07,1.09019e+03,6.14417e-15
0.00000,0.17500,9.99724e+07,1.05473e+03,3.72664e-15
0.00000,0.18000,9.99832e+07,1.03320e+03,2.26032e-15
0.00000,0.18500,9.99898e+07,1.02014e+03,1.37096e-15
0.00000,0.19000,9.99938e+07,1.01222e+03,8.31528e-16
0.00000,0.19500,9.99963e+07,1.00741e+03,5.04347e-16
0.00000,0.20000,9.99977e+07,1.00449e+03,3.05902e-16
0.00000,0.20500,9.99986e+07,1.00273e+03,1.85539e-16
0.00000,0.21000,9.99992e+07,1.00165e+03,1.12535e-16
0.00000,0.21500,9.99995e+07,1.00100e+03,6.82560e-17
0.00000,0.22000,9.99997e+07,1.00061e+03,4.13994e-17
0.00000,0.22500,9.99998e+07,1.00037e+03,2.51100e-17
0.00000,0.23000,9.99999e+07,1.00022e+03,1.52300e-17
0.00000,0.23500,9.99999e+07,1.00014e+03,9.23745e-18
0.00000,0.24000,1.00000e+08,1.00008e+03,5.60280e-18
0.00000,0.24500,1.00000e+08,1.00005e+03,3.39827e-18
0.00000,0.25000,1.00000e+08,1.00003e+03,2.06115e-18
0.00000,0.25500,1.00000e+08,1.00002e+03,1.25015e-18
0.00000,0.26000,1.00000e+08,1.00001e+03,7.58256e-19
0.00000,0.26500,1.00000e+08,1.00001e+03,4.59906e-19
0.00000,0.27000,1.00000e+08,1.00000e+03,2.78947e-19
0.00000,0.27500,1.00000e+08,1.00000e+03,1.69190e-19
0.00000,0.28000,1.00000e+08,1.00000e+03,1.02619e-19
0.00000,0.28500,1.00000e+08,1.00000e+03,6.22415e-20
0.00000,0.29000,1.00000e+08,1.00000e+03,3.77514e-20
0.00000,0.29500,1.00000e+08,1.00000e+03,2.28974e-20
0.00000,0.30000,1.00000e+08,1.00000e+03,1.38879e-20
0.00000,0.30500,1.00000e+08,1.00000e+03,8.42348e-21
0.00000,0.31000,1.00000e+08,1.00000e+03,5.10908e-21
0.00000,0.31500,1.00000e+08,1.00000e+03,3.09880e-21
0.00000,0.32000,1.00000e+08,1.00000e+03,1.87955e-21
0.00000,0.32500,1.00000e+08,1.00000e+03,1.13998e-21
0.00000,0.33000,1.00000e+08,1.00000e+03,6.91447e-22
0.00000,0.33500,1.00000e+08,1.00000e+03,4.19387e-22
0.00000,0.34000,1.00000e+08,1.00000e+03,2.54352e-22
0.00000,0.34500,1.00000e+08,1.00000e+03,1.54265e-22
0.00000,0.35000,1.00000e+08,1.00000e+03,9.35918e-23
0.00000,0.35500,1.00000e+08,1.00000e+03,5.67879e-23
0.00000,0.36000,1.00000e+08,1.00000e+03,3.44169e-23
0.00000,0.36500,1.00000e+08,1.00000e+03,2.08722e-23
0.00000,0.37000,1.00000e+08,1.00000e+03,1.26565e-23
0.00000,0.37500,1.00000e+08,1.00000e+03,7.66053e-24
0.00000,0.38000,1.00000e+08,1.00000e+03,4.66294e-24
0.00000,0.38500,1.00000e+08,1.00000e+03,2.83106e-24
0.00000,0.39000,1.00000e+08,1.00000e+03,1.72084e-24
0.00000,0.39500,1.00000e+08,1.00000e+03,1.05471e-24
0.00000,0.40000,1.00000e+08,1.00000e+03,6.10629e-25
0.00000,0.40500,1.00000e+08,1.00000e+03,3.88574e-25
0.00000,0.41000,1.00000e+08,1.00000e+03,2.22042e-25
0.00000,0.41500,1.00000e+08,1.00000e+03,1.11021e-25
0.00000,0.42000,1.00000e+08,1.00000e+03,5.55106e-26
0.00000,0.42500,1.00000e+08,1.00000e+03,5.55106e-26
0.00000,0.43000,1.00000e+08,1.00000e+03,0.00000e+00
